complaint,category,priority,department,cleaned_complaint
حواف رصيف متاكله,3,منخفضة,إدارة الطرق والإنشاءات,حواف رصيف متاكله
نقص حاويات في حي البندر,4,متوسطة,إدارة النظافة والبيئة,نقص حاويات في حي البندر
لوحات تالفة في طريق جدة,1,منخفضة,إدارة تحسين المشهد الحضري,لوحات تالفه في طريق جده
تراكم أتربة في حي الشرم,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في حي الشرم
نقص حاويات في حي النوى,4,متوسطة,إدارة النظافة والبيئة,نقص حاويات في حي النوي
حفر في المسار في المنطقة التاريخية,3,عالية,إدارة الطرق والإنشاءات,حفر في المسار في المنطقه التاريخيه
تماس في عمود إنارة في حي الجابرية,0,عالية,إدارة التشغيل والصيانة,تماس في عمود اناره في حي الجابريه
حاجة لتخطيط مسارات في طريق جدة,3,عالية,إدارة الطرق والإنشاءات,حاجه لتخطيط مسارات في طريق جده
تراكم أتربة في حي العزيزية,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في حي العزيزيه
أعمال حفر مهملة في المنطقة الصناعية,5,عالية,إدارة المشاريع,اعمال حفر مهمله في المنطقه الصناعيه
رمي عشوائي للمخلفات في طريق جدة,4,منخفضة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في طريق جده
مبنى قديم آيل للسقوط في حي الجابرية,6,عالية,إدارة الرقابة الفنية,مبني قديم ايل للسقوط في حي الجابريه
أعمال حفر مهملة في طريق جدة,5,عالية,إدارة المشاريع,اعمال حفر مهمله في طريق جده
تلف في ألعاب الأطفال في حي الشرم,2,متوسطة,إدارة الحدائق والتشجير,تلف في العاب الاطفال في حي الشرم
تصدعات عميقة في حي البندر,3,عالية,إدارة الطرق والإنشاءات,تصدعات عميقه في حي البندر
تصدعات  خفيفة في مبنى مهجور في المنطقة الصناعية,6,متوسطة,إدارة الرقابة الفنية,تصدعات خفيفه في مبني مهجور في المنطقه الصناعيه
تماس في عمود إنارة في حي الصريف,0,عالية,إدارة التشغيل والصيانة,تماس في عمود اناره في حي الصريف
جفاف مسطحات خضراء في حي السميري,2,متوسطة,إدارة الحدائق والتشجير,جفاف مسطحات خضراء في حي السميري
تعطل أعمدة إنارة في المنطقة الصناعية,0,متوسطة,إدارة التشغيل والصيانة,تعطل اعمده اناره في المنطقه الصناعيه
تراكم نفايات في المنطقة الصناعية,4,منخفضة,إدارة النظافة والبيئة,تراكم نفايات في المنطقه الصناعيه
تلف في ألعاب الأطفال في حي السميري,2,متوسطة,إدارة الحدائق والتشجير,تلف في العاب الاطفال في حي السميري
تعطل أعمدة إنارة في حي الجابرية,0,متوسطة,إدارة التشغيل والصيانة,تعطل اعمده اناره في حي الجابريه
تراكم أتربة في طريق جدة,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في طريق جده
نقص حاويات في حي الشرم,4,عالية,إدارة النظافة والبيئة,نقص حاويات في حي الشرم
حاجة لتخطيط مسارات في حي الجابرية,3,عالية,إدارة الطرق والإنشاءات,حاجه لتخطيط مسارات في حي الجابريه
تراكم أتربة في المنطقة التاريخية,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في المنطقه التاريخيه
تآكل في واجهة مبنى في حي العزيزية,6,عالية,إدارة الرقابة الفنية,تاكل في واجهه مبني في حي العزيزيه
تلف الأرصفة في المنطقة التاريخية,3,عالية,إدارة الطرق والإنشاءات,تلف الارصفه في المنطقه التاريخيه
حفر في المسار في حي الصريف,3,عالية,إدارة الطرق والإنشاءات,حفر في المسار في حي الصريف
ضعف إنارة الحديقة في المنطقة الصناعية,2,منخفضة,إدارة الحدائق والتشجير,ضعف اناره الحديقه في المنطقه الصناعيه
نقص حاويات في كورنيش ينبع,4,عالية,إدارة النظافة والبيئة,نقص حاويات في كورنيش ينبع
تراكم أتربة في طريق الملك عبدالعزيز,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في طريق الملك عبدالعزيز
تصدعات عميقة في كورنيش ينبع,3,عالية,إدارة الطرق والإنشاءات,تصدعات عميقه في كورنيش ينبع
حاويات ممتلئة في حي البندر,4,متوسطة,إدارة النظافة والبيئة,حاويات ممتلئه في حي البندر
تراكم نفايات في حي الصريف,4,متوسطة,إدارة النظافة والبيئة,تراكم نفايات في حي الصريف
تلف يسبب خطر في ألعاب الأطفال في كورنيش ينبع,2,عالية,إدارة الحدائق والتشجير,تلف يسبب خطر في العاب الاطفال في كورنيش ينبع
جفاف مسطحات خضراء في حي الصريف,2,منخفضة,إدارة الحدائق والتشجير,جفاف مسطحات خضراء في حي الصريف
تلف في ألعاب الأطفال في طريق الملك عبدالعزيز,2,متوسطة,إدارة الحدائق والتشجير,تلف في العاب الاطفال في طريق الملك عبدالعزيز
حاجة لصيانة إضاءة في حي النوى,0,متوسطة,إدارة التشغيل والصيانة,حاجه لصيانه اضاءه في حي النوي
تراكم نفايات في حي الشرم,4,منخفضة,إدارة النظافة والبيئة,تراكم نفايات في حي الشرم
مبنى قديم آيل للسقوط في حي الصريف,6,عالية,إدارة الرقابة الفنية,مبني قديم ايل للسقوط في حي الصريف
نقص حاويات في حي العزيزية,4,عالية,إدارة النظافة والبيئة,نقص حاويات في حي العزيزيه
نقص حاويات في حي الجابرية,4,عالية,إدارة النظافة والبيئة,نقص حاويات في حي الجابريه
تلف في الطريق في المنطقة الصناعية,5,متوسطة,إدارة المشاريع,تلف في الطريق في المنطقه الصناعيه
كتابات على الجدران في حي النوى,1,منخفضة,إدارة تحسين المشهد الحضري,كتابات علي الجدران في حي النوي
رمي عشوائي للمخلفات في حي السميري,4,منخفضة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في حي السميري
رمي عشوائي للمخلفات في حي السميري,4,متوسطة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في حي السميري
أعمال حفر مهملة في حي النوى,5,عالية,إدارة المشاريع,اعمال حفر مهمله في حي النوي
تصدعات في مبنى مهجور في المنطقة التاريخية,6,عالية,إدارة الرقابة الفنية,تصدعات في مبني مهجور في المنطقه التاريخيه
حاجة لتخطيط مسارات في طريق الملك عبدالعزيز,3,عالية,إدارة الطرق والإنشاءات,حاجه لتخطيط مسارات في طريق الملك عبدالعزيز
هبوط في الأسفلت في المنطقة الصناعية,5,عالية,إدارة المشاريع,هبوط في الاسفلت في المنطقه الصناعيه
انطفاء كشافات الشارع في حي العزيزية,0,منخفضة,إدارة التشغيل والصيانة,انطفاء كشافات الشارع في حي العزيزيه
تصدعات عميقة في حي السميري,3,عالية,إدارة الطرق والإنشاءات,تصدعات عميقه في حي السميري
تعطل أعمدة إنارة في حي الشرم,0,متوسطة,إدارة التشغيل والصيانة,تعطل اعمده اناره في حي الشرم
حاويات ممتلئة في حي الجابرية,4,منخفضة,إدارة النظافة والبيئة,حاويات ممتلئه في حي الجابريه
تلف في ألعاب الأطفال في حي النوى,2,متوسطة,إدارة الحدائق والتشجير,تلف في العاب الاطفال في حي النوي
تلف في الطريق في حي الجابرية,5,عالية,إدارة المشاريع,تلف في الطريق في حي الجابريه
هبوط في الأسفلت في طريق الملك عبدالعزيز,5,عالية,إدارة المشاريع,هبوط في الاسفلت في طريق الملك عبدالعزيز
تصدعات في مبنى مهجور في طريق الملك عبدالعزيز,6,عالية,إدارة الرقابة الفنية,تصدعات في مبني مهجور في طريق الملك عبدالعزيز
خردة مركونة في المنطقة التاريخية,1,منخفضة,إدارة تحسين المشهد الحضري,خرده مركونه في المنطقه التاريخيه
رمي عشوائي للمخلفات في كورنيش ينبع,4,منخفضة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في كورنيش ينبع
لوحات تالفة في المنطقة الصناعية,1,متوسطة,إدارة تحسين المشهد الحضري,لوحات تالفه في المنطقه الصناعيه
تلف في الطريق في حي الجابرية,5,متوسطة,إدارة المشاريع,تلف في الطريق في حي الجابريه
مبنى قديم آيل للسقوط في المنطقة التاريخية,6,عالية,إدارة الرقابة الفنية,مبني قديم ايل للسقوط في المنطقه التاريخيه
تآكل في واجهة مبنى في حي الجابرية,6,متوسطة,إدارة الرقابة الفنية,تاكل في واجهه مبني في حي الجابريه
رمي عشوائي للمخلفات في حي العزيزية,4,منخفضة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في حي العزيزيه
حاجة لتخطيط مسارات في حي الصريف,3,عالية,إدارة الطرق والإنشاءات,حاجه لتخطيط مسارات في حي الصريف
خطر سقوط أجزاء من مبنى في حي الجابرية,6,عالية,إدارة الرقابة الفنية,خطر سقوط اجزاء من مبني في حي الجابريه
تصدعات عميقة في حي الجابرية,3,عالية,إدارة الطرق والإنشاءات,تصدعات عميقه في حي الجابريه
تراكم أتربة في حي الصريف,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في حي الصريف
تلف في الطريق في كورنيش ينبع,5,عالية,إدارة المشاريع,تلف في الطريق في كورنيش ينبع
جفاف مسطحات خضراء في حي النوى,2,متوسطة,إدارة الحدائق والتشجير,جفاف مسطحات خضراء في حي النوي
مبنى قديم آيل للسقوط في حي السميري,6,عالية,إدارة الرقابة الفنية,مبني قديم ايل للسقوط في حي السميري
نقص حاويات في المنطقة الصناعية,4,منخفضة,إدارة النظافة والبيئة,نقص حاويات في المنطقه الصناعيه
حفرية غير مغطاة في حي الشرم,5,عالية,إدارة المشاريع,حفريه غير مغطاه في حي الشرم
حفرية غير مغطاة في طريق جدة,5,عالية,إدارة المشاريع,حفريه غير مغطاه في طريق جده
تلف الأرصفة في حي الجابرية,3,متوسطة,إدارة الطرق والإنشاءات,تلف الارصفه في حي الجابريه
حاجة لصيانة إضاءة في حي الشرم,0,متوسطة,إدارة التشغيل والصيانة,حاجه لصيانه اضاءه في حي الشرم
خطر سقوط أجزاء من مبنى في المنطقة الصناعية,6,عالية,إدارة الرقابة الفنية,خطر سقوط اجزاء من مبني في المنطقه الصناعيه
تعطل أعمدة إنارة في طريق الملك عبدالعزيز,0,متوسطة,إدارة التشغيل والصيانة,تعطل اعمده اناره في طريق الملك عبدالعزيز
لوحات تالفة و آيلة للسقوط في حي الجابرية,1,عالية,إدارة تحسين المشهد الحضري,لوحات تالفه و ايله للسقوط في حي الجابريه
كتابات على الجدران في حي الصريف,1,منخفضة,إدارة تحسين المشهد الحضري,كتابات علي الجدران في حي الصريف
لوحات مخدوشة وباهته في حي النوى,1,منخفضة,إدارة تحسين المشهد الحضري,لوحات مخدوشه وباهته في حي النوي
تعطل أعمدة إنارة في حي الصريف,0,متوسطة,إدارة التشغيل والصيانة,تعطل اعمده اناره في حي الصريف
سقوط عمود اناره  الشارع في حي الصريف,0,عالية,إدارة التشغيل والصيانة,سقوط عمود اناره الشارع في حي الصريف
لوحات تالفة  المحتوى في حي النوى,1,منخفضة,إدارة تحسين المشهد الحضري,لوحات تالفه المحتوي في حي النوي
حاجة لصيانة مقاعد في المنطقة الصناعية,2,متوسطة,إدارة الحدائق والتشجير,حاجه لصيانه مقاعد في المنطقه الصناعيه
ضعف إنارة الحديقة في طريق جدة,2,منخفضة,إدارة الحدائق والتشجير,ضعف اناره الحديقه في طريق جده
خطر سقوط أجزاء من مبنى في طريق الملك عبدالعزيز,6,عالية,إدارة الرقابة الفنية,خطر سقوط اجزاء من مبني في طريق الملك عبدالعزيز
تصدعات متوسطة في مبنى مهجور في المنطقة التاريخية,6,متوسطة,إدارة الرقابة الفنية,تصدعات متوسطه في مبني مهجور في المنطقه التاريخيه
حاجة لتخطيط مسارات في المنطقة التاريخية,3,عالية,إدارة الطرق والإنشاءات,حاجه لتخطيط مسارات في المنطقه التاريخيه
انطفاء كشافات الشارع في طريق جدة,0,عالية,إدارة التشغيل والصيانة,انطفاء كشافات الشارع في طريق جده
تراكم نفايات في حي البندر,4,منخفضة,إدارة النظافة والبيئة,تراكم نفايات في حي البندر
ضعف إنارة الحديقة في حي العزيزية,2,منخفضة,إدارة الحدائق والتشجير,ضعف اناره الحديقه في حي العزيزيه
تماس في عمود إنارة في حي السميري,0,عالية,إدارة التشغيل والصيانة,تماس في عمود اناره في حي السميري
رمي عشوائي للمخلفات في حي البندر,4,منخفضة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في حي البندر
جفاف مسطحات خضراء في حي الصريف,2,متوسطة,إدارة الحدائق والتشجير,جفاف مسطحات خضراء في حي الصريف
حفرية غير مغطاة في المنطقة التاريخية,5,عالية,إدارة المشاريع,حفريه غير مغطاه في المنطقه التاريخيه
حاجة لصيانة مقاعد تالفة جزئيا في حي النوى,2,متوسطة,إدارة الحدائق والتشجير,حاجه لصيانه مقاعد تالفه جزئيا في حي النوي
حفر في المسار في المنطقة الصناعية,3,عالية,إدارة الطرق والإنشاءات,حفر في المسار في المنطقه الصناعيه
رمي عشوائي للمخلفات في حي البندر,4,متوسطة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في حي البندر
تصدعات خفيفة  في مبنى مهجور في حي البندر,6,متوسطة,إدارة الرقابة الفنية,تصدعات خفيفه في مبني مهجور في حي البندر
تلف في الطريق في حي الشرم,5,عالية,إدارة المشاريع,تلف في الطريق في حي الشرم
وجود حفريات مفتوحه وغير مؤمنه في حي الصريف,5,عالية,إدارة المشاريع,وجود حفريات مفتوحه وغير مؤمنه في حي الصريف
جفاف مسطحات خضراء في حي السميري,2,منخفضة,إدارة الحدائق والتشجير,جفاف مسطحات خضراء في حي السميري
لوحات تالفة في كورنيش ينبع,1,عالية,إدارة تحسين المشهد الحضري,لوحات تالفه في كورنيش ينبع
خردة مركونة في حي البندر,1,منخفضة,إدارة تحسين المشهد الحضري,خرده مركونه في حي البندر
عدم استكمال زفلتة الطريق في حي البندر,3,متوسطة,إدارة المشاريع,عدم استكمال زفلته الطريق في حي البندر
انطفاء كشافات الشارع في حي الجابرية,0,منخفضة,إدارة التشغيل والصيانة,انطفاء كشافات الشارع في حي الجابريه
انطفاء كشافات الشارع في كورنيش ينبع,0,عالية,إدارة التشغيل والصيانة,انطفاء كشافات الشارع في كورنيش ينبع
رمي عشوائي للمخلفات في حي الجابرية,4,منخفضة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في حي الجابريه
خردة مركونة في حي النوى,1,منخفضة,إدارة تحسين المشهد الحضري,خرده مركونه في حي النوي
نقص حاويات في طريق جدة,4,عالية,إدارة النظافة والبيئة,نقص حاويات في طريق جده
حفرية غير مغطاة في حي الصريف,5,عالية,إدارة المشاريع,حفريه غير مغطاه في حي الصريف
حفرية غير مغطاة في كورنيش ينبع,5,عالية,إدارة المشاريع,حفريه غير مغطاه في كورنيش ينبع
هبوط في الأسفلت في حي البندر,5,عالية,إدارة المشاريع,هبوط في الاسفلت في حي البندر
ألعاب الأطفال مكسورة وتشكل خطراً على الأطفال في حي البندر,2,عالية,إدارة الحدائق والتشجير,العاب الاطفال مكسوره وتشكل خطرا علي الاطفال في حي البندر
تعطل أعمدة إنارة في حي العزيزية,0,متوسطة,إدارة التشغيل والصيانة,تعطل اعمده اناره في حي العزيزيه
نقص حاويات في حي البندر,4,عالية,إدارة النظافة والبيئة,نقص حاويات في حي البندر
هبوط في الأسفلت في حي الجابرية,5,عالية,إدارة المشاريع,هبوط في الاسفلت في حي الجابريه
تماس في عمود إنارة في حي البندر,0,عالية,إدارة التشغيل والصيانة,تماس في عمود اناره في حي البندر
تصدعات في مبنى مهجور في حي البندر,6,متوسطة,إدارة الرقابة الفنية,تصدعات في مبني مهجور في حي البندر
كتابات على الجدران في طريق جدة,1,منخفضة,إدارة تحسين المشهد الحضري,كتابات علي الجدران في طريق جده
تصدعات كبيرة وتشكل خطر سقوط المبنى المهجور في طريق الملك عبدالعزيز,6,عالية,إدارة الرقابة الفنية,تصدعات كبيره وتشكل خطر سقوط المبني المهجور في طريق الملك عبدالعزيز
بهتان لون لوحة ارشادية في حي الجابرية,1,منخفضة,إدارة تحسين المشهد الحضري,بهتان لون لوحه ارشاديه في حي الجابريه
حاجة لصيانة إضاءة  محطمة في طريق جدة,0,عالية,إدارة التشغيل والصيانة,حاجه لصيانه اضاءه محطمه في طريق جده
حاويات ممتلئة في حي الجابرية,4,عالية,إدارة النظافة والبيئة,حاويات ممتلئه في حي الجابريه
جفاف مسطحات خضراء في حي البندر,2,متوسطة,إدارة الحدائق والتشجير,جفاف مسطحات خضراء في حي البندر
تصدعات عميقة في مبنى مهجور في حي البندر,6,عالية,إدارة الرقابة الفنية,تصدعات عميقه في مبني مهجور في حي البندر
انطفاء كشافات الشارع في حي البندر,0,متوسطة,إدارة التشغيل والصيانة,انطفاء كشافات الشارع في حي البندر
تعطل أعمدة إنارة في كورنيش ينبع,0,متوسطة,إدارة التشغيل والصيانة,تعطل اعمده اناره في كورنيش ينبع
حفر في المسار في كورنيش ينبع,3,عالية,إدارة الطرق والإنشاءات,حفر في المسار في كورنيش ينبع
خطر سقوط أجزاء من مبنى في حي البندر,6,عالية,إدارة الرقابة الفنية,خطر سقوط اجزاء من مبني في حي البندر
حاويات ممتلئة في حي البندر,4,عالية,إدارة النظافة والبيئة,حاويات ممتلئه في حي البندر
تلف في ألعاب الأطفال يهدد سلامتهم في حي السميري,2,عالية,إدارة الحدائق والتشجير,تلف في العاب الاطفال يهدد سلامتهم في حي السميري
حاويات ممتلئة في حي السميري,4,عالية,إدارة النظافة والبيئة,حاويات ممتلئه في حي السميري
حاجة لتخطيط مسارات في المنطقة الصناعية,3,عالية,إدارة الطرق والإنشاءات,حاجه لتخطيط مسارات في المنطقه الصناعيه
تلف في ألعاب الأطفال في حي النوى,2,عالية,إدارة الحدائق والتشجير,تلف في العاب الاطفال في حي النوي
حاجة لصيانة إضاءة في طريق الملك عبدالعزيز,0,منخفضة,إدارة التشغيل والصيانة,حاجه لصيانه اضاءه في طريق الملك عبدالعزيز
تلف الأرصفة في حي البندر,3,متوسطة,إدارة الطرق والإنشاءات,تلف الارصفه في حي البندر
هبوط في الأسفلت في حي السميري,5,عالية,إدارة المشاريع,هبوط في الاسفلت في حي السميري
تراكم أتربة في المنطقة الصناعية,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في المنطقه الصناعيه
ضعف إنارة الحديقة في المنطقة التاريخية,2,منخفضة,إدارة الحدائق والتشجير,ضعف اناره الحديقه في المنطقه التاريخيه
حفرية غير مغطاة في حي البندر,5,عالية,إدارة المشاريع,حفريه غير مغطاه في حي البندر
تعطل أعمدة إنارة  بسبب التماس في طريق جدة,0,عالية,إدارة التشغيل والصيانة,تعطل اعمده اناره بسبب التماس في طريق جده
تلف في ألعاب الأطفال في طريق الملك عبدالعزيز,2,عالية,إدارة الحدائق والتشجير,تلف في العاب الاطفال في طريق الملك عبدالعزيز
انطفاء كشافات الشارع في حي العزيزية,0,متوسطة,إدارة التشغيل والصيانة,انطفاء كشافات الشارع في حي العزيزيه
تآكل في واجهة مبنى في حي الصريف,6,منخفضة,إدارة الرقابة الفنية,تاكل في واجهه مبني في حي الصريف
تماس في عمود إنارة في طريق جدة,0,عالية,إدارة التشغيل والصيانة,تماس في عمود اناره في طريق جده
خردة مركونة في حي الشرم,1,منخفضة,إدارة تحسين المشهد الحضري,خرده مركونه في حي الشرم
حاجة لصيانة مقاعد في طريق الملك عبدالعزيز,2,منخفضة,إدارة الحدائق والتشجير,حاجه لصيانه مقاعد في طريق الملك عبدالعزيز
حاجة لوضع مطبات في حي السميري,3,متوسطة,إدارة الطرق والإنشاءات,حاجه لوضع مطبات في حي السميري
تلف كبير في الطريق في حي النوى,5,عالية,إدارة المشاريع,تلف كبير في الطريق في حي النوي
تراكم نفايات في حي العزيزية,4,متوسطة,إدارة النظافة والبيئة,تراكم نفايات في حي العزيزيه
جفاف مسطحات خضراء في حي الشرم,2,منخفضة,إدارة الحدائق والتشجير,جفاف مسطحات خضراء في حي الشرم
تلف في ألعاب الأطفال في حي الصريف,2,عالية,إدارة الحدائق والتشجير,تلف في العاب الاطفال في حي الصريف
حاويات ممتلئة في المنطقة الصناعية,4,متوسطة,إدارة النظافة والبيئة,حاويات ممتلئه في المنطقه الصناعيه
تصدعات عميقة في حي العزيزية,3,عالية,إدارة الطرق والإنشاءات,تصدعات عميقه في حي العزيزيه
حاجة لصيانة إضاءة في حي البندر,0,متوسطة,إدارة التشغيل والصيانة,حاجه لصيانه اضاءه في حي البندر
تراكم أتربة في كورنيش ينبع,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في كورنيش ينبع
حاجة لتخطيط مسارات في كورنيش ينبع,3,عالية,إدارة الطرق والإنشاءات,حاجه لتخطيط مسارات في كورنيش ينبع
حاجة لصيانة إضاءة في طريق الملك عبدالعزيز,0,متوسطة,إدارة التشغيل والصيانة,حاجه لصيانه اضاءه في طريق الملك عبدالعزيز
حاجة لصيانة مقاعد محطمه في حي النوى,2,عالية,إدارة الحدائق والتشجير,حاجه لصيانه مقاعد محطمه في حي النوي
حاويات ممتلئة في المنطقة التاريخية,4,متوسطة,إدارة النظافة والبيئة,حاويات ممتلئه في المنطقه التاريخيه
حاويات ممتلئة في طريق الملك عبدالعزيز,4,عالية,إدارة النظافة والبيئة,حاويات ممتلئه في طريق الملك عبدالعزيز
حفرية غير مغطاة في حي الجابرية,5,عالية,إدارة المشاريع,حفريه غير مغطاه في حي الجابريه
أعمال حفر مهملة في حي البندر,5,عالية,إدارة المشاريع,اعمال حفر مهمله في حي البندر
هبوط  وتشققات في الأسفلت في كورنيش ينبع,5,عالية,إدارة المشاريع,هبوط وتشققات في الاسفلت في كورنيش ينبع
حاجة لصيانة إضاءة في المنطقة التاريخية,0,منخفضة,إدارة التشغيل والصيانة,حاجه لصيانه اضاءه في المنطقه التاريخيه
نقص حاويات في طريق جدة,4,متوسطة,إدارة النظافة والبيئة,نقص حاويات في طريق جده
ضعف إنارة الحديقة في حي البندر,2,متوسطة,إدارة الحدائق والتشجير,ضعف اناره الحديقه في حي البندر
